"Item + description (per 100g)","Calories (kcal per 100g)","Protein (g per 100g)","Carbs (g per 100g)","Fats (g per 100g)"
"Abalone","177","21.24","7.46","6.12"
"Abiyuch, raw","69","1.5","17.6","0.1"
"Acerola juice, raw","23","0.4","4.8","0.3"
"Acerola, (west indian cherry), raw","32","0.4","7.69","0.3"
"Acorn stew (Apache)","95","6.81","9.22","3.47"
"Adobo, with noodles","172","16.89","8.14","7.66"
"Agave liquid sweetener","310","0.09","76.37","0.45"
"Agave, cooked (Southwest)","135","0.99","32","0.29"
"Agave, dried (Southwest)","341","1.71","81.98","0.69"
"Agave, raw (Southwest)","68","0.52","16.23","0.15"
"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)","470","9","10.5","43.5"
"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)","353","3.4","13.4","31.8"
"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)","258","21.7","0.9","18.6"
"Alcoholic beverage, beer, light","29","0.24","1.64","0"
"Alcoholic beverage, beer, regular, all","43","0.46","3.55","0"
"Alcoholic beverage, creme de menthe, 72 proof","371","0","41.6","0.3"
"Alcoholic beverage, daiquiri, canned","125","0","15.7","0"
"Alcoholic beverage, daiquiri, prepared-from-recipe","186","0.06","6.94","0.06"
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof","231","0","0","0"
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof","250","0","0.1","0"
"Alcoholic beverage, liqueur, coffee with cream, 34 proof","327","2.8","20.9","15.7"
"Alcoholic beverage, liqueur, coffee, 53 proof","336","0.1","46.8","0.3"
"Alcoholic beverage, liqueur, coffee, 63 proof","308","0.1","32.2","0.3"
"Alcoholic beverage, malt beer, hard lemonade","68","0","10.07","0"
"Alcoholic beverage, pina colada, canned","237","0.6","27.6","7.6"
"Alcoholic beverage, pina colada, prepared-from-recipe","174","0.42","22.66","1.88"
"Alcoholic beverage, rice (sake)","134","0.5","5","0"
"Alcoholic beverage, tequila sunrise, canned","110","0.3","11.3","0.1"
"Alcoholic beverage, whiskey sour, canned","119","0","13.4","0"
"Alcoholic beverage, wine, cooking","50","0.5","6.3","0"
"Alcoholic beverage, wine, table, white, Muscat","82","0.07","5.23","0"
"Alcoholic beverages, beer, higher alcohol","58","0.9","0.27","0"
"Alcoholic beverages, wine, rose","83","0.36","3.8","0"
"Alcoholic coffee drink","88","0.21","2.1","2.38"
"Alcoholic malt beverage","58","0.9","0.27","0"
"Alcoholic malt beverage, sweetened","68","0","10.07","0"
"Alfalfa seeds, sprouted, raw","23","3.99","2.1","0.69"
"Alfalfa sprouts, raw","23","3.99","2.1","0.69"
"Alfredo sauce","150","2.12","1.77","15"
"Alfredo sauce with added vegetables","122","2.07","2.65","11.54"
"Alfredo sauce with meat","171","6.52","1.44","15.34"
"Alfredo sauce with meat and added vegetables","148","6.47","2.15","12.53"
"Alfredo sauce with poultry","156","6.87","1.44","13.6"
"Alfredo sauce with poultry and added vegetables","133","6.83","2.15","10.79"
"Alfredo sauce with seafood","145","5.91","1.99","12.46"
"Alfredo sauce with seafood and added vegetables","122","5.87","2.7","9.66"
"Almond butter","641","20.67","21.11","52.72"
"Almond butter and jelly sandwich, on wheat bread","372","12.04","42.86","17.2"
"Almond butter and jelly sandwich, on white bread","374","10.98","44.88","16.99"
"Almond butter sandwich, on wheat bread","395","14.62","36.97","20.93"
"Almond butter sandwich, on white bread","397","13.34","39.43","20.68"
"Almond chicken","195","15.66","4.46","13.16"
"Almond milk, chocolate","43","0.57","7.44","1.2"
"Almond milk, NFS","20","0.54","1.53","1.21"
"Almond milk, sweetened","30","0.53","4.31","1.18"
"Almond milk, unsweetened","15","0.55","0.34","1.22"
"Almond oil","884","0","0","100"
"Almond paste","458","9","47.81","27.74"
"Almonds, chocolate covered candy","560","12.97","44.04","38.81"
"Almonds, flavored","599","20.07","20.12","53.27"
"Almonds, honey roasted","579","14.11","35.84","45.34"
"Almonds, unroasted","626","21.45","20.03","51.09"
"Aloe vera juice drink","15","0","3.75","0"
"Amaranth grain, cooked","102","3.8","18.69","1.58"
"Amaranth grain, uncooked","371","13.56","65.25","7.02"
"Amaranth leaves, cooked, boiled, drained, with salt","21","2.11","4.11","0.18"
"Ambrosia","75","0.81","16.45","0.98"
"Andrea's, Gluten Free Soft Dinner Roll","257","5.65","40.24","8.2"
"Animal fat or drippings","841","2.23","0","92.18"
"Animal fat, bacon grease","897","0","0","99.5"
"Anisette toast","373","7.63","66.99","8.38"
"Antipasto with ham, fish, cheese, vegetables","158","11.62","3.75","10.7"
"Apple cider","46","0.1","11.3","0.13"
